Rank,IsMvp,IsMvp_Int,LgYear,Pos,Pos_Int,Lg,Year,Name,Tm,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
15,No,0,AL01,Batter,1,AL,2001,Rafael Palmeiro,TEX,5.0,0.0,1%,4.7,160.0,600.0,98.0,164.0,47.0,123.0,1.0,101.0,0.273,0.381,0.563,0.944,,,,,,,,,,,,
16,No,0,AL01,Batter,1,AL,2001,Mike Cameron,SEA,4.0,0.0,1%,5.9,150.0,540.0,99.0,144.0,25.0,110.0,34.0,69.0,0.267,0.353,0.48,0.832,,,,,,,,,,,,
17,No,0,AL01,Batter,1,AL,2001,Cristian Guzmán,MIN,4.0,0.0,1%,4.8,118.0,493.0,80.0,149.0,10.0,51.0,25.0,21.0,0.302,0.337,0.477,0.814,,,,,,,,,,,,
18,No,0,AL01,Batter,1,AL,2001,Edgar Martínez,SEA,4.0,0.0,1%,4.8,132.0,470.0,80.0,144.0,23.0,116.0,4.0,93.0,0.306,0.423,0.543,0.966,,,,,,,,,,,,
19,No,0,AL01,Pitcher,0,AL,2001,Kazuhiro Sasaki,SEA,3.0,0.0,1%,1.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,4.0,3.24,0.885,69.0,0.0,45.0,66.2,48.0,6.0,11.0,62.0
20,No,0,AL01,Batter,1,AL,2001,Miguel Tejada,OAK,3.0,0.0,1%,4.2,162.0,622.0,107.0,166.0,31.0,113.0,11.0,43.0,0.267,0.326,0.476,0.801,,,,,,,,,,,,
21,No,0,AL01,Batter,1,AL,2001,Garret Anderson,ANA,2.0,0.0,1%,2.7,161.0,672.0,83.0,194.0,28.0,123.0,13.0,27.0,0.289,0.314,0.478,0.792,,,,,,,,,,,,
22,No,0,AL01,Batter,1,AL,2001,Torii Hunter,MIN,2.0,0.0,1%,4.7,148.0,564.0,82.0,147.0,27.0,92.0,9.0,29.0,0.261,0.306,0.479,0.784,,,,,,,,,,,,
23,No,0,AL01,Batter,1,AL,2001,Mike Sweeney,KCR,2.0,0.0,1%,4.6,147.0,559.0,97.0,170.0,29.0,99.0,10.0,64.0,0.304,0.374,0.542,0.916,,,,,,,,,,,,
24,No,0,AL01,Pitcher,0,AL,2001,Barry Zito,OAK,2.0,0.0,1%,4.4,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,3.49,1.232,35.0,35.0,0.0,214.1,184.0,18.0,80.0,205.0
25,No,0,AL01,Batter,1,AL,2001,Corey Koskie,MIN,1.0,0.0,0%,6.3,153.0,562.0,100.0,155.0,26.0,103.0,27.0,68.0,0.276,0.362,0.488,0.85,,,,,,,,,,,,
26,No,0,AL01,Batter,1,AL,2001,Shannon Stewart,TOR,1.0,0.0,0%,4.0,155.0,640.0,103.0,202.0,12.0,60.0,27.0,46.0,0.316,0.371,0.463,0.834,,,,,,,,,,,,
1,Yes,1,NL01,Batter,1,NL,2001,Barry Bonds,SFG,438.0,30.0,98%,11.9,153.0,476.0,129.0,156.0,73.0,137.0,13.0,177.0,0.328,0.515,0.863,1.379,,,,,,,,,,,,
2,No,0,NL01,Batter,1,NL,2001,Sammy Sosa,CHC,278.0,2.0,62%,10.3,160.0,577.0,146.0,189.0,64.0,160.0,0.0,116.0,0.328,0.437,0.737,1.174,,,,,,,,,,,,
3,No,0,NL01,Batter,1,NL,2001,Luis Gonzalez,ARI,261.0,0.0,58%,7.9,162.0,609.0,128.0,198.0,57.0,142.0,1.0,100.0,0.325,0.429,0.688,1.117,,,,,,,,,,,,
4,No,0,NL01,Batter,1,NL,2001,Albert Pujols,STL,222.0,0.0,50%,6.6,161.0,590.0,112.0,194.0,37.0,130.0,1.0,69.0,0.329,0.403,0.61,1.013,,,,,,,,,,,,
5,No,0,NL01,Batter,1,NL,2001,Lance Berkman,HOU,125.0,0.0,28%,6.5,156.0,577.0,110.0,191.0,34.0,126.0,7.0,92.0,0.331,0.43,0.62,1.051,,,,,,,,,,,,
6,No,0,NL01,Batter,1,NL,2001,Shawn Green,LAD,112.0,0.0,25%,7.0,161.0,619.0,121.0,184.0,49.0,125.0,20.0,72.0,0.297,0.372,0.598,0.97,,,,,,,,,,,,
7,No,0,NL01,Batter,1,NL,2001,Jeff Bagwell,HOU,109.0,0.0,24%,5.9,161.0,600.0,126.0,173.0,39.0,130.0,11.0,106.0,0.288,0.397,0.568,0.966,,,,,,,,,,,,
8,No,0,NL01,Batter,1,NL,2001,Chipper Jones,ATL,100.0,0.0,22%,5.9,159.0,572.0,113.0,189.0,38.0,102.0,9.0,98.0,0.33,0.427,0.605,1.032,,,,,,,,,,,,
9,No,0,NL01,Batter,1,NL,2001,Todd Helton,COL,90.0,0.0,20%,7.8,159.0,587.0,132.0,197.0,49.0,146.0,7.0,98.0,0.336,0.432,0.685,1.116,,,,,,,,,,,,
10,No,0,NL01,Pitcher,0,NL,2001,Curt Schilling,ARI,24.0,0.0,5%,8.5,34.0,83.0,4.0,11.0,0.0,1.0,0.0,1.0,0.133,0.143,0.145,0.287,22.0,6.0,2.98,1.075,35.0,35.0,0.0,256.2,237.0,37.0,39.0,293.0
11,No,0,NL01,Pitcher,0,NL,2001,Randy Johnson,ARI,23.0,0.0,5%,9.5,33.0,80.0,2.0,8.0,0.0,2.0,0.0,3.0,0.1,0.143,0.1,0.243,21.0,6.0,2.49,1.009,35.0,34.0,0.0,249.2,181.0,19.0,71.0,372.0
12,No,0,NL01,Batter,1,NL,2001,Rich Aurilia,SFG,20.0,0.0,4%,6.7,156.0,636.0,114.0,206.0,37.0,97.0,1.0,47.0,0.324,0.369,0.572,0.941,,,,,,,,,,,,
13,No,0,NL01,Batter,1,NL,2001,Mike Piazza,NYM,14.0,0.0,3%,4.5,141.0,503.0,81.0,151.0,36.0,94.0,0.0,67.0,0.3,0.384,0.573,0.957,,,,,,,,,,,,
14,No,0,NL01,Batter,1,NL,2001,Moisés Alou,HOU,13.0,0.0,3%,2.9,136.0,513.0,79.0,170.0,27.0,108.0,5.0,57.0,0.331,0.396,0.554,0.949,,,,,,,,,,,,
15,No,0,NL01,Pitcher,0,NL,2001,Matt Morris,STL,13.0,0.0,3%,4.0,32.0,72.0,5.0,10.0,0.0,5.0,0.0,2.0,0.139,0.162,0.167,0.329,22.0,8.0,3.16,1.257,34.0,34.0,0.0,216.1,218.0,13.0,54.0,185.0
16,No,0,NL01,Batter,1,NL,2001,Bobby Abreu,PHI,9.0,0.0,2%,5.2,162.0,588.0,118.0,170.0,31.0,110.0,36.0,106.0,0.289,0.393,0.543,0.936,,,,,,,,,,,,
17,No,0,NL01,Batter,1,NL,2001,Jimmy Rollins,PHI,8.0,0.0,2%,2.4,158.0,656.0,97.0,180.0,14.0,54.0,46.0,48.0,0.274,0.323,0.419,0.743,,,,,,,,,,,,
18,No,0,NL01,Batter,1,NL,2001,Brian Jordan,ATL,7.0,0.0,2%,4.3,148.0,560.0,82.0,165.0,25.0,97.0,3.0,31.0,0.295,0.334,0.496,0.83,,,,,,,,,,,,
19,No,0,NL01,Batter,1,NL,2001,Paul Lo Duca,LAD,6.0,0.0,1%,4.6,125.0,460.0,71.0,147.0,25.0,90.0,2.0,39.0,0.32,0.374,0.543,0.917,,,,,,,,,,,,
20,No,0,NL01,Pitcher,0,NL,2001,Félix Rodríguez,SFG,4.0,0.0,1%,3.2,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,9.0,1.0,1.68,0.996,80.0,0.0,0.0,80.1,53.0,5.0,27.0,91.0
21,No,0,NL01,Batter,1,NL,2001,Phil Nevin,SDP,3.0,0.0,1%,5.8,149.0,546.0,97.0,167.0,41.0,126.0,4.0,71.0,0.306,0.388,0.588,0.976,,,,,,,,,,,,
22,No,0,NL01,Batter,1,NL,2001,Cliff Floyd,FLA,2.0,0.0,0%,6.6,149.0,555.0,123.0,176.0,31.0,103.0,18.0,59.0,0.317,0.39,0.578,0.968,,,,,,,,,,,,
23,No,0,NL01,Pitcher,0,NL,2001,Roy Oswalt,HOU,2.0,0.0,0%,4.8,26.0,47.0,3.0,9.0,0.0,3.0,0.0,1.0,0.191,0.208,0.213,0.421,14.0,3.0,2.73,1.059,28.0,20.0,0.0,141.2,126.0,13.0,24.0,144.0
24,No,0,NL01,Batter,1,NL,2001,Brian Giles,PIT,1.0,0.0,0%,5.4,160.0,576.0,116.0,178.0,37.0,95.0,13.0,90.0,0.309,0.404,0.59,0.994,,,,,,,,,,,,
25,No,0,NL01,Batter,1,NL,2001,Vladimir Guerrero,MON,1.0,0.0,0%,4.9,159.0,599.0,107.0,184.0,34.0,108.0,37.0,60.0,0.307,0.377,0.566,0.943,,,,,,,,,,,,
26,No,0,NL01,Pitcher,0,NL,2001,Steve Kline,STL,1.0,0.0,0%,2.8,85.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,3.0,3.0,1.8,1.093,89.0,0.0,9.0,75.0,53.0,3.0,29.0,54.0
27,No,0,NL01,Batter,1,NL,2001,Scott Rolen,PHI,1.0,0.0,0%,5.6,151.0,554.0,96.0,160.0,25.0,107.0,16.0,74.0,0.289,0.378,0.498,0.876,,,,,,,,,,,,
28,No,0,NL01,Batter,1,NL,2001,Larry Walker,COL,1.0,0.0,0%,7.8,142.0,497.0,107.0,174.0,38.0,123.0,14.0,82.0,0.35,0.449,0.662,1.111,,,,,,,,,,,,
1,Yes,1,AL02,Batter,1,AL,2002,Miguel Tejada,OAK,356.0,21.0,91%,5.7,162.0,662.0,108.0,204.0,34.0,131.0,7.0,38.0,0.308,0.354,0.508,0.861,,,,,,,,,,,,
2,No,0,AL02,Batter,1,AL,2002,Alex Rodriguez,TEX,254.0,5.0,65%,8.8,162.0,624.0,125.0,187.0,57.0,142.0,9.0,87.0,0.3,0.392,0.623,1.015,,,,,,,,,,,,
3,No,0,AL02,Batter,1,AL,2002,Alfonso Soriano,NYY,234.0,2.0,60%,4.9,156.0,696.0,128.0,209.0,39.0,102.0,41.0,23.0,0.3,0.332,0.547,0.88,,,,,,,,,,,,
4,No,0,AL02,Batter,1,AL,2002,Garret Anderson,ANA,184.0,0.0,47%,5.1,158.0,638.0,93.0,195.0,29.0,123.0,6.0,30.0,0.306,0.332,0.539,0.871,,,,,,,,,,,,
5,No,0,AL02,Batter,1,AL,2002,Jason Giambi,NYY,162.0,0.0,41%,7.1,155.0,560.0,120.0,176.0,41.0,122.0,2.0,109.0,0.314,0.435,0.598,1.034,,,,,,,,,,,,
6,No,0,AL02,Batter,1,AL,2002,Torii Hunter,MIN,132.0,0.0,34%,3.5,148.0,561.0,89.0,162.0,29.0,94.0,23.0,35.0,0.289,0.334,0.524,0.859,,,,,,,,,,,,
7,No,0,AL02,Batter,1,AL,2002,Jim Thome,CLE,69.0,0.0,18%,7.4,147.0,480.0,101.0,146.0,52.0,118.0,1.0,122.0,0.304,0.445,0.677,1.122,,,,,,,,,,,,
8,No,0,AL02,Batter,1,AL,2002,Magglio Ordóñez,CHW,59.0,0.0,15%,5.2,153.0,590.0,116.0,189.0,38.0,135.0,7.0,53.0,0.32,0.381,0.597,0.978,,,,,,,,,,,,
9,No,0,AL02,Batter,1,AL,2002,Manny Ramirez,BOS,39.0,0.0,10%,6.0,120.0,436.0,84.0,152.0,33.0,107.0,0.0,73.0,0.349,0.45,0.647,1.097,,,,,,,,,,,,
10,No,0,AL02,Batter,1,AL,2002,Bernie Williams,NYY,32.0,0.0,8%,4.5,154.0,612.0,102.0,204.0,19.0,102.0,8.0,83.0,0.333,0.415,0.493,0.908,,,,,,,,,,,,
11,No,0,AL02,Batter,1,AL,2002,David Eckstein,ANA,24.0,0.0,6%,5.2,152.0,608.0,107.0,178.0,8.0,63.0,21.0,45.0,0.293,0.363,0.388,0.752,,,,,,,,,,,,
12,No,0,AL02,Batter,1,AL,2002,Nomar Garciaparra,BOS,24.0,0.0,6%,6.8,156.0,635.0,101.0,197.0,24.0,120.0,5.0,41.0,0.31,0.352,0.528,0.88,,,,,,,,,,,,
13,No,0,AL02,Pitcher,0,AL,2002,Barry Zito,OAK,22.0,0.0,6%,7.1,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,2.75,1.134,35.0,35.0,0.0,229.1,182.0,24.0,78.0,182.0
14,No,0,AL02,Batter,1,AL,2002,Eric Chavez,OAK,14.0,0.0,4%,4.3,153.0,585.0,87.0,161.0,34.0,109.0,8.0,65.0,0.275,0.348,0.513,0.86,,,,,,,,,,,,
15,No,0,AL02,Pitcher,0,AL,2002,Eddie Guardado,MIN,12.0,0.0,3%,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,3.0,2.93,1.049,68.0,0.0,45.0,67.2,53.0,9.0,18.0,70.0
16,No,0,AL02,Pitcher,0,AL,2002,Troy Percival,ANA,12.0,0.0,3%,2.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.0,1.0,1.92,1.118,58.0,0.0,40.0,56.1,38.0,5.0,25.0,68.0
17,No,0,AL02,Batter,1,AL,2002,Ichiro Suzuki,SEA,10.0,0.0,3%,3.6,157.0,647.0,111.0,208.0,8.0,51.0,31.0,68.0,0.321,0.388,0.425,0.813,,,,,,,,,,,,
18,No,0,AL02,Pitcher,0,AL,2002,Billy Koch,OAK,8.0,0.0,2%,1.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,11.0,4.0,3.27,1.27,84.0,0.0,44.0,93.2,73.0,7.0,46.0,93.0
19,No,0,AL02,Pitcher,0,AL,2002,Derek Lowe,BOS,3.0,0.0,1%,7.3,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.333,0.5,0.333,0.833,21.0,8.0,2.58,0.974,32.0,32.0,0.0,219.2,166.0,12.0,48.0,127.0
20,No,0,AL02,Pitcher,0,AL,2002,Pedro Martinez,BOS,1.0,0.0,0%,6.4,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.167,0.0,0.167,20.0,4.0,2.26,0.923,30.0,30.0,0.0,199.1,144.0,13.0,40.0,239.0
