Rank,IsMvp,IsMvp_Int,LgYear,Pos,Pos_Int,Lg,Year,Name,Tm,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
26,No,0,NL93,Pitcher,0,NL,1993,John Wetteland,MON,1.0,0.0,0%,4.1,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.37,1.008,70.0,0.0,43.0,85.1,58.0,3.0,28.0,113.0
1,Yes,1,AL94,Batter,1,AL,1994,Frank Thomas,CHW,372.0,24.0,95%,6.4,113.0,399.0,106.0,141.0,38.0,101.0,2.0,109.0,0.353,0.487,0.729,1.217,,,,,,,,,,,,
2,No,0,AL94,Batter,1,AL,1994,Ken Griffey Jr.,SEA,233.0,3.0,59%,6.9,111.0,433.0,94.0,140.0,40.0,90.0,11.0,56.0,0.323,0.402,0.674,1.076,,,,,,,,,,,,
3,No,0,AL94,Batter,1,AL,1994,Albert Belle,CLE,225.0,0.0,57%,5.7,106.0,412.0,90.0,147.0,36.0,101.0,9.0,58.0,0.357,0.438,0.714,1.152,,,,,,,,,,,,
4,No,0,AL94,Batter,1,AL,1994,Kenny Lofton,CLE,181.0,1.0,46%,7.2,112.0,459.0,105.0,160.0,12.0,57.0,60.0,52.0,0.349,0.412,0.536,0.948,,,,,,,,,,,,
5,No,0,AL94,Batter,1,AL,1994,Paul O'Neill,NYY,150.0,0.0,38%,4.3,103.0,368.0,68.0,132.0,21.0,83.0,5.0,72.0,0.359,0.46,0.603,1.064,,,,,,,,,,,,
6,No,0,AL94,Pitcher,0,AL,1994,Jimmy Key,NYY,102.0,0.0,26%,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,17.0,4.0,3.27,1.363,25.0,25.0,0.0,168.0,177.0,10.0,52.0,97.0
7,No,0,AL94,Batter,1,AL,1994,Kirby Puckett,MIN,100.0,0.0,26%,3.6,108.0,439.0,79.0,139.0,20.0,112.0,6.0,28.0,0.317,0.362,0.54,0.902,,,,,,,,,,,,
8,No,0,AL94,Batter,1,AL,1994,Julio Franco,CHW,49.0,0.0,13%,3.0,112.0,433.0,72.0,138.0,20.0,98.0,8.0,62.0,0.319,0.406,0.51,0.916,,,,,,,,,,,,
9,No,0,AL94,Pitcher,0,AL,1994,David Cone,KCR,40.0,0.0,10%,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,16.0,5.0,2.94,1.072,23.0,23.0,0.0,171.2,130.0,15.0,54.0,132.0
10,No,0,AL94,Batter,1,AL,1994,Joe Carter,TOR,35.0,0.0,9%,0.7,111.0,435.0,70.0,118.0,27.0,103.0,11.0,33.0,0.271,0.317,0.524,0.841,,,,,,,,,,,,
11,No,0,AL94,Batter,1,AL,1994,José Canseco,TEX,27.0,0.0,7%,3.0,111.0,429.0,88.0,121.0,31.0,90.0,15.0,69.0,0.282,0.386,0.552,0.939,,,,,,,,,,,,
12,No,0,AL94,Batter,1,AL,1994,Cal Ripken Jr.,BAL,24.0,0.0,6%,4.0,112.0,444.0,71.0,140.0,13.0,75.0,1.0,32.0,0.315,0.364,0.459,0.823,,,,,,,,,,,,
13,No,0,AL94,Batter,1,AL,1994,Wade Boggs,NYY,19.0,0.0,5%,4.5,97.0,366.0,61.0,125.0,11.0,55.0,2.0,61.0,0.342,0.433,0.489,0.922,,,,,,,,,,,,
14,No,0,AL94,Pitcher,0,AL,1994,Lee Smith,BAL,18.0,0.0,5%,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,3.29,1.174,41.0,0.0,33.0,38.1,34.0,6.0,11.0,42.0
15,No,0,AL94,Batter,1,AL,1994,Will Clark,TEX,17.0,0.0,4%,3.6,110.0,389.0,73.0,128.0,13.0,80.0,5.0,71.0,0.329,0.431,0.501,0.932,,,,,,,,,,,,
16,No,0,AL94,Batter,1,AL,1994,Rafael Palmeiro,BAL,11.0,0.0,3%,4.0,111.0,436.0,82.0,139.0,23.0,76.0,7.0,54.0,0.319,0.392,0.55,0.942,,,,,,,,,,,,
17,No,0,AL94,Batter,1,AL,1994,Mo Vaughn,BOS,10.0,0.0,3%,2.7,111.0,394.0,65.0,122.0,26.0,82.0,4.0,57.0,0.31,0.408,0.576,0.984,,,,,,,,,,,,
18,No,0,AL94,Batter,1,AL,1994,Don Mattingly,NYY,9.0,0.0,2%,2.3,97.0,372.0,62.0,113.0,6.0,51.0,0.0,60.0,0.304,0.397,0.411,0.808,,,,,,,,,,,,
19,No,0,AL94,Batter,1,AL,1994,Paul Molitor,TOR,9.0,0.0,2%,3.6,115.0,454.0,86.0,155.0,14.0,75.0,20.0,55.0,0.341,0.41,0.518,0.927,,,,,,,,,,,,
20,No,0,AL94,Batter,1,AL,1994,Chuck Knoblauch,MIN,8.0,0.0,2%,4.1,109.0,445.0,85.0,139.0,5.0,51.0,35.0,41.0,0.312,0.381,0.461,0.841,,,,,,,,,,,,
21,No,0,AL94,Pitcher,0,AL,1994,Mike Mussina,BAL,8.0,0.0,2%,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,16.0,5.0,3.06,1.163,24.0,24.0,0.0,176.1,163.0,19.0,42.0,99.0
22,No,0,AL94,Batter,1,AL,1994,Chili Davis,CAL,3.0,0.0,1%,3.1,108.0,392.0,72.0,122.0,26.0,84.0,3.0,69.0,0.311,0.41,0.561,0.971,,,,,,,,,,,,
23,No,0,AL94,Pitcher,0,AL,1994,Jason Bere,CHW,1.0,0.0,0%,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,12.0,2.0,3.81,1.405,24.0,24.0,0.0,141.2,119.0,17.0,80.0,127.0
24,No,0,AL94,Batter,1,AL,1994,Rubén Sierra,OAK,1.0,0.0,0%,0.3,110.0,426.0,71.0,114.0,23.0,92.0,8.0,23.0,0.268,0.298,0.484,0.781,,,,,,,,,,,,
1,Yes,1,NL94,Batter,1,NL,1994,Jeff Bagwell,HOU,392.0,28.0,100%,8.2,110.0,400.0,104.0,147.0,39.0,116.0,15.0,65.0,0.368,0.451,0.75,1.201,,,,,,,,,,,,
2,No,0,NL94,Batter,1,NL,1994,Matt Williams,SFG,281.0,0.0,72%,4.7,112.0,445.0,74.0,119.0,43.0,96.0,1.0,33.0,0.267,0.319,0.607,0.926,,,,,,,,,,,,
3,No,0,NL94,Batter,1,NL,1994,Moisés Alou,MON,183.0,0.0,47%,5.1,107.0,422.0,81.0,143.0,22.0,78.0,7.0,42.0,0.339,0.397,0.592,0.989,,,,,,,,,,,,
4,No,0,NL94,Batter,1,NL,1994,Barry Bonds,SFG,144.0,0.0,37%,6.2,112.0,391.0,89.0,122.0,37.0,81.0,29.0,74.0,0.312,0.426,0.647,1.073,,,,,,,,,,,,
5,No,0,NL94,Pitcher,0,NL,1994,Greg Maddux,ATL,133.0,0.0,34%,8.7,25.0,63.0,5.0,14.0,0.0,2.0,0.0,1.0,0.222,0.234,0.254,0.488,16.0,6.0,1.56,0.896,25.0,25.0,0.0,202.0,150.0,4.0,31.0,156.0
6,No,0,NL94,Batter,1,NL,1994,Mike Piazza,LAD,121.0,0.0,31%,3.6,107.0,405.0,64.0,129.0,24.0,92.0,1.0,33.0,0.319,0.37,0.541,0.91,,,,,,,,,,,,
7,No,0,NL94,Batter,1,NL,1994,Tony Gwynn,SDP,112.0,0.0,29%,4.2,110.0,419.0,79.0,165.0,12.0,64.0,5.0,48.0,0.394,0.454,0.568,1.022,,,,,,,,,,,,
8,No,0,NL94,Batter,1,NL,1994,Fred McGriff,ATL,96.0,0.0,24%,4.6,113.0,424.0,81.0,135.0,34.0,94.0,7.0,50.0,0.318,0.389,0.623,1.012,,,,,,,,,,,,
9,No,0,NL94,Batter,1,NL,1994,Kevin Mitchell,CIN,86.0,0.0,22%,3.7,95.0,310.0,57.0,101.0,30.0,77.0,2.0,59.0,0.326,0.429,0.681,1.11,,,,,,,,,,,,
10,No,0,NL94,Batter,1,NL,1994,Andrés Galarraga,COL,42.0,0.0,11%,2.0,103.0,417.0,77.0,133.0,31.0,85.0,8.0,19.0,0.319,0.356,0.592,0.949,,,,,,,,,,,,
11,No,0,NL94,Batter,1,NL,1994,Larry Walker,MON,23.0,0.0,6%,4.7,103.0,395.0,76.0,127.0,19.0,86.0,15.0,47.0,0.322,0.394,0.587,0.981,,,,,,,,,,,,
12,No,0,NL94,Batter,1,NL,1994,Marquis Grissom,MON,22.0,0.0,6%,5.1,110.0,475.0,96.0,137.0,11.0,45.0,36.0,41.0,0.288,0.344,0.427,0.771,,,,,,,,,,,,
13,No,0,NL94,Pitcher,0,NL,1994,Ken Hill,MON,22.0,0.0,6%,2.9,24.0,48.0,1.0,7.0,0.0,2.0,0.0,3.0,0.146,0.196,0.146,0.342,16.0,5.0,3.32,1.222,23.0,23.0,0.0,154.2,145.0,12.0,44.0,85.0
14,No,0,NL94,Batter,1,NL,1994,Dante Bichette,COL,19.0,0.0,5%,1.0,116.0,484.0,74.0,147.0,27.0,95.0,21.0,19.0,0.304,0.334,0.548,0.882,,,,,,,,,,,,
15,No,0,NL94,Batter,1,NL,1994,Hal Morris,CIN,18.0,0.0,5%,2.2,112.0,436.0,60.0,146.0,10.0,78.0,6.0,34.0,0.335,0.385,0.491,0.875,,,,,,,,,,,,
16,No,0,NL94,Batter,1,NL,1994,Craig Biggio,HOU,17.0,0.0,4%,4.6,114.0,437.0,88.0,139.0,6.0,56.0,39.0,62.0,0.318,0.411,0.483,0.893,,,,,,,,,,,,
17,No,0,NL94,Batter,1,NL,1994,Gregg Jefferies,STL,5.0,0.0,1%,1.9,103.0,397.0,52.0,129.0,12.0,55.0,12.0,45.0,0.325,0.391,0.489,0.88,,,,,,,,,,,,
18,No,0,NL94,Batter,1,NL,1994,Jeff Conine,FLA,4.0,0.0,1%,2.9,115.0,451.0,60.0,144.0,18.0,82.0,1.0,40.0,0.319,0.373,0.525,0.898,,,,,,,,,,,,
19,No,0,NL94,Batter,1,NL,1994,Tim Wallach,LAD,4.0,0.0,1%,1.9,113.0,414.0,68.0,116.0,23.0,78.0,0.0,46.0,0.28,0.356,0.502,0.859,,,,,,,,,,,,
20,No,0,NL94,Pitcher,0,NL,1994,John Franco,NYM,3.0,0.0,1%,0.9,47.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.7,1.32,47.0,0.0,30.0,50.0,47.0,2.0,19.0,42.0
21,No,0,NL94,Batter,1,NL,1994,Bret Boone,CIN,2.0,0.0,1%,1.9,108.0,381.0,59.0,122.0,12.0,68.0,3.0,24.0,0.32,0.368,0.491,0.858,,,,,,,,,,,,
22,No,0,NL94,Pitcher,0,NL,1994,Andy Benes,SDP,1.0,0.0,0%,3.6,25.0,49.0,2.0,8.0,0.0,7.0,0.0,1.0,0.163,0.18,0.184,0.364,6.0,14.0,3.86,1.195,25.0,25.0,0.0,172.1,155.0,20.0,51.0,189.0
23,No,0,NL94,Batter,1,NL,1994,Brett Butler,LAD,1.0,0.0,0%,3.4,111.0,417.0,79.0,131.0,8.0,33.0,27.0,68.0,0.314,0.411,0.446,0.857,,,,,,,,,,,,
24,No,0,NL94,Pitcher,0,NL,1994,Bret Saberhagen,NYM,1.0,0.0,0%,5.7,24.0,58.0,7.0,10.0,0.0,1.0,0.0,4.0,0.172,0.226,0.207,0.433,14.0,4.0,2.74,1.026,24.0,24.0,0.0,177.1,169.0,13.0,13.0,143.0
1,Yes,1,AL95,Batter,1,AL,1995,Mo Vaughn,BOS,308.0,12.0,79%,4.3,140.0,550.0,98.0,165.0,39.0,126.0,11.0,68.0,0.3,0.388,0.575,0.963,,,,,,,,,,,,
2,No,0,AL95,Batter,1,AL,1995,Albert Belle,CLE,300.0,11.0,77%,7.0,143.0,546.0,121.0,173.0,50.0,126.0,5.0,73.0,0.317,0.401,0.69,1.091,,,,,,,,,,,,
3,No,0,AL95,Batter,1,AL,1995,Edgar Martínez,SEA,244.0,4.0,62%,7.0,145.0,511.0,121.0,182.0,29.0,113.0,4.0,116.0,0.356,0.479,0.628,1.107,,,,,,,,,,,,
4,No,0,AL95,Pitcher,0,AL,1995,José Mesa,CLE,130.0,1.0,33%,3.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,1.13,1.031,62.0,0.0,46.0,64.0,49.0,3.0,17.0,58.0
5,No,0,AL95,Batter,1,AL,1995,Jay Buhner,SEA,120.0,0.0,31%,2.4,126.0,470.0,86.0,123.0,40.0,121.0,0.0,60.0,0.262,0.343,0.566,0.909,,,,,,,,,,,,
6,No,0,AL95,Pitcher,0,AL,1995,Randy Johnson,SEA,111.0,0.0,28%,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,18.0,2.0,2.48,1.045,30.0,30.0,0.0,214.1,159.0,12.0,65.0,294.0
7,No,0,AL95,Batter,1,AL,1995,Tim Salmon,CAL,110.0,0.0,28%,6.6,143.0,537.0,111.0,177.0,34.0,105.0,5.0,91.0,0.33,0.429,0.594,1.024,,,,,,,,,,,,
8,No,0,AL95,Batter,1,AL,1995,Frank Thomas,CHW,86.0,0.0,22%,5.3,145.0,493.0,102.0,152.0,40.0,111.0,3.0,136.0,0.308,0.454,0.606,1.061,,,,,,,,,,,,
9,No,0,AL95,Batter,1,AL,1995,John Valentin,BOS,57.0,0.0,15%,8.3,135.0,520.0,108.0,155.0,27.0,102.0,20.0,81.0,0.298,0.399,0.533,0.931,,,,,,,,,,,,
10,No,0,AL95,Batter,1,AL,1995,Gary Gaetti,KCR,45.0,0.0,11%,3.4,137.0,514.0,76.0,134.0,35.0,96.0,3.0,47.0,0.261,0.329,0.518,0.846,,,,,,,,,,,,
11,No,0,AL95,Batter,1,AL,1995,Rafael Palmeiro,BAL,34.0,0.0,9%,5.5,143.0,554.0,89.0,172.0,39.0,104.0,3.0,62.0,0.31,0.38,0.583,0.963,,,,,,,,,,,,
12,No,0,AL95,Batter,1,AL,1995,Manny Ramirez,CLE,30.0,0.0,8%,3.0,137.0,484.0,85.0,149.0,31.0,107.0,6.0,75.0,0.308,0.402,0.558,0.96,,,,,,,,,,,,
13,No,0,AL95,Pitcher,0,AL,1995,Tim Wakefield,BOS,20.0,0.0,5%,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,16.0,8.0,2.95,1.183,27.0,27.0,0.0,195.1,163.0,22.0,68.0,119.0
14,No,0,AL95,Batter,1,AL,1995,Jim Edmonds,CAL,18.0,0.0,5%,5.6,141.0,558.0,120.0,162.0,33.0,107.0,1.0,51.0,0.29,0.352,0.536,0.888,,,,,,,,,,,,
15,No,0,AL95,Batter,1,AL,1995,Paul O'Neill,NYY,14.0,0.0,4%,2.8,127.0,460.0,82.0,138.0,22.0,96.0,1.0,71.0,0.3,0.387,0.526,0.913,,,,,,,,,,,,
16,No,0,AL95,Batter,1,AL,1995,Mark McGwire,OAK,7.0,0.0,2%,5.5,104.0,317.0,75.0,87.0,39.0,90.0,1.0,88.0,0.274,0.441,0.685,1.125,,,,,,,,,,,,
17,No,0,AL95,Batter,1,AL,1995,Wade Boggs,NYY,5.0,0.0,1%,4.2,126.0,460.0,76.0,149.0,5.0,63.0,1.0,74.0,0.324,0.412,0.422,0.834,,,,,,,,,,,,
18,No,0,AL95,Batter,1,AL,1995,Chuck Knoblauch,MIN,5.0,0.0,1%,6.7,136.0,538.0,107.0,179.0,11.0,63.0,46.0,78.0,0.333,0.424,0.487,0.911,,,,,,,,,,,,
19,No,0,AL95,Batter,1,AL,1995,Gary Disarcina,CAL,3.0,0.0,1%,3.1,99.0,362.0,61.0,111.0,5.0,41.0,7.0,20.0,0.307,0.344,0.459,0.802,,,,,,,,,,,,
20,No,0,AL95,Batter,1,AL,1995,Cal Ripken Jr.,BAL,3.0,0.0,1%,3.9,144.0,550.0,71.0,144.0,17.0,88.0,0.0,52.0,0.262,0.324,0.422,0.745,,,,,,,,,,,,
21,No,0,AL95,Batter,1,AL,1995,Kirby Puckett,MIN,2.0,0.0,1%,3.1,137.0,538.0,83.0,169.0,23.0,99.0,3.0,56.0,0.314,0.379,0.515,0.894,,,,,,,,,,,,
1,Yes,1,NL95,Batter,1,NL,1995,Barry Larkin,CIN,281.0,11.0,72%,5.9,131.0,496.0,98.0,158.0,15.0,66.0,51.0,61.0,0.319,0.394,0.492,0.886,,,,,,,,,,,,
2,No,0,NL95,Batter,1,NL,1995,Dante Bichette,COL,251.0,6.0,64%,1.2,139.0,579.0,102.0,197.0,40.0,128.0,13.0,22.0,0.34,0.364,0.62,0.984,,,,,,,,,,,,
3,No,0,NL95,Pitcher,0,NL,1995,Greg Maddux,ATL,249.0,7.0,64%,9.6,28.0,72.0,8.0,11.0,0.0,0.0,0.0,3.0,0.153,0.187,0.181,0.367,19.0,2.0,1.63,0.811,28.0,28.0,0.0,209.2,147.0,8.0,23.0,181.0
4,No,0,NL95,Batter,1,NL,1995,Mike Piazza,LAD,214.0,3.0,55%,6.2,112.0,434.0,82.0,150.0,32.0,93.0,1.0,39.0,0.346,0.4,0.606,1.006,,,,,,,,,,,,
5,No,0,NL95,Batter,1,NL,1995,Eric Karros,LAD,135.0,0.0,34%,3.9,143.0,551.0,83.0,164.0,32.0,105.0,4.0,61.0,0.298,0.369,0.535,0.905,,,,,,,,,,,,
6,No,0,NL95,Batter,1,NL,1995,Reggie Sanders,CIN,120.0,0.0,31%,6.6,133.0,484.0,91.0,148.0,28.0,99.0,36.0,69.0,0.306,0.397,0.579,0.975,,,,,,,,,,,,
7,No,0,NL95,Batter,1,NL,1995,Larry Walker,COL,88.0,0.0,22%,4.7,131.0,494.0,96.0,151.0,36.0,101.0,16.0,49.0,0.306,0.381,0.607,0.988,,,,,,,,,,,,
8,No,0,NL95,Batter,1,NL,1995,Sammy Sosa,CHC,81.0,0.0,21%,5.3,144.0,564.0,89.0,151.0,36.0,119.0,34.0,58.0,0.268,0.34,0.5,0.84,,,,,,,,,,,,
9,No,0,NL95,Batter,1,NL,1995,Tony Gwynn,SDP,72.0,0.0,18%,2.3,135.0,535.0,82.0,197.0,9.0,90.0,17.0,35.0,0.368,0.404,0.484,0.888,,,,,,,,,,,,
10,No,0,NL95,Batter,1,NL,1995,Craig Biggio,HOU,58.0,0.0,15%,6.3,141.0,553.0,123.0,167.0,22.0,77.0,33.0,80.0,0.302,0.406,0.483,0.889,,,,,,,,,,,,
11,No,0,NL95,Batter,1,NL,1995,Ron Gant,CIN,31.0,1.0,8%,3.3,119.0,410.0,79.0,113.0,29.0,88.0,23.0,74.0,0.276,0.386,0.554,0.94,,,,,,,,,,,,
12,No,0,NL95,Batter,1,NL,1995,Barry Bonds,SFG,21.0,0.0,5%,7.5,144.0,506.0,109.0,149.0,33.0,104.0,31.0,120.0,0.294,0.431,0.577,1.009,,,,,,,,,,,,
13,No,0,NL95,Batter,1,NL,1995,Mark Grace,CHC,14.0,0.0,4%,5.0,143.0,552.0,97.0,180.0,16.0,92.0,6.0,65.0,0.326,0.395,0.516,0.911,,,,,,,,,,,,
14,No,0,NL95,Batter,1,NL,1995,Derek Bell,HOU,12.0,0.0,3%,2.0,112.0,452.0,63.0,151.0,8.0,86.0,27.0,33.0,0.334,0.385,0.442,0.827,,,,,,,,,,,,
15,No,0,NL95,Batter,1,NL,1995,Jeff Bagwell,HOU,5.0,0.0,1%,4.9,114.0,448.0,88.0,130.0,21.0,87.0,12.0,79.0,0.29,0.399,0.496,0.894,,,,,,,,,,,,
16,No,0,NL95,Batter,1,NL,1995,Andrés Galarraga,COL,4.0,0.0,1%,1.1,143.0,554.0,89.0,155.0,31.0,106.0,12.0,32.0,0.28,0.331,0.511,0.842,,,,,,,,,,,,
17,No,0,NL95,Batter,1,NL,1995,Charlie Hayes,PHI,4.0,0.0,1%,2.0,141.0,529.0,58.0,146.0,11.0,85.0,5.0,50.0,0.276,0.34,0.406,0.746,,,,,,,,,,,,
18,No,0,NL95,Batter,1,NL,1995,Vinny Castilla,COL,3.0,0.0,1%,2.5,139.0,527.0,82.0,163.0,32.0,90.0,2.0,30.0,0.309,0.347,0.564,0.911,,,,,,,,,,,,
19,No,0,NL95,Batter,1,NL,1995,Chipper Jones,ATL,3.0,0.0,1%,2.7,140.0,524.0,87.0,139.0,23.0,86.0,8.0,73.0,0.265,0.353,0.45,0.803,,,,,,,,,,,,
20,No,0,NL95,Batter,1,NL,1995,Fred McGriff,ATL,2.0,0.0,1%,1.4,144.0,528.0,85.0,148.0,27.0,93.0,3.0,65.0,0.28,0.361,0.489,0.85,,,,,,,,,,,,
21,No,0,NL95,Pitcher,0,NL,1995,Pete Schourek,CIN,2.0,0.0,1%,4.3,29.0,59.0,7.0,13.0,0.0,4.0,0.0,0.0,0.22,0.22,0.254,0.475,18.0,7.0,3.22,1.067,29.0,29.0,0.0,190.1,158.0,17.0,45.0,160.0
22,No,0,NL95,Batter,1,NL,1995,Jeff Conine,FLA,1.0,0.0,0%,2.7,133.0,483.0,72.0,146.0,25.0,105.0,2.0,66.0,0.302,0.379,0.52,0.899,,,,,,,,,,,,
23,No,0,NL95,Pitcher,0,NL,1995,Tom Henke,STL,1.0,0.0,0%,2.3,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.82,1.104,52.0,0.0,36.0,54.1,42.0,2.0,18.0,48.0
1,Yes,1,AL96,Batter,1,AL,1996,Juan González,TEX,290.0,11.0,74%,3.8,134.0,541.0,89.0,170.0,47.0,144.0,2.0,45.0,0.314,0.368,0.643,1.011,,,,,,,,,,,,
2,No,0,AL96,Batter,1,AL,1996,Alex Rodriguez,SEA,287.0,10.0,73%,9.4,146.0,601.0,141.0,215.0,36.0,123.0,15.0,59.0,0.358,0.414,0.631,1.045,,,,,,,,,,,,
3,No,0,AL96,Batter,1,AL,1996,Albert Belle,CLE,228.0,2.0,58%,5.7,158.0,602.0,124.0,187.0,48.0,148.0,11.0,99.0,0.311,0.41,0.623,1.033,,,,,,,,,,,,
4,No,0,AL96,Batter,1,AL,1996,Ken Griffey Jr.,SEA,188.0,4.0,48%,9.7,140.0,545.0,125.0,165.0,49.0,140.0,16.0,78.0,0.303,0.392,0.628,1.02,,,,,,,,,,,,
5,No,0,AL96,Batter,1,AL,1996,Mo Vaughn,BOS,132.0,0.0,34%,5.6,161.0,635.0,118.0,207.0,44.0,143.0,2.0,95.0,0.326,0.42,0.583,1.003,,,,,,,,,,,,
6,No,0,AL96,Batter,1,AL,1996,Rafael Palmeiro,BAL,104.0,0.0,27%,4.5,162.0,626.0,110.0,181.0,39.0,142.0,8.0,95.0,0.289,0.381,0.546,0.927,,,,,,,,,,,,
7,No,0,AL96,Batter,1,AL,1996,Mark McGwire,OAK,100.0,0.0,26%,6.4,130.0,423.0,104.0,132.0,52.0,113.0,0.0,116.0,0.312,0.467,0.73,1.198,,,,,,,,,,,,
8,No,0,AL96,Batter,1,AL,1996,Frank Thomas,CHW,88.0,0.0,22%,5.6,141.0,527.0,110.0,184.0,40.0,134.0,1.0,109.0,0.349,0.459,0.626,1.085,,,,,,,,,,,,
9,No,0,AL96,Batter,1,AL,1996,Brady Anderson,BAL,53.0,0.0,14%,6.9,149.0,579.0,117.0,172.0,50.0,110.0,21.0,76.0,0.297,0.396,0.637,1.034,,,,,,,,,,,,
10,No,0,AL96,Batter,1,AL,1996,Iván Rodríguez,TEX,52.0,1.0,13%,6.1,153.0,639.0,116.0,192.0,19.0,86.0,5.0,38.0,0.3,0.342,0.473,0.814,,,,,,,,,,,,
11,No,0,AL96,Batter,1,AL,1996,Kenny Lofton,CLE,34.0,0.0,9%,5.5,154.0,662.0,132.0,210.0,14.0,67.0,75.0,61.0,0.317,0.372,0.446,0.817,,,,,,,,,,,,
12,No,0,AL96,Pitcher,0,AL,1996,Mariano Rivera,NYY,27.0,0.0,7%,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,3.0,2.09,0.994,61.0,0.0,5.0,107.2,73.0,1.0,34.0,130.0
13,No,0,AL96,Batter,1,AL,1996,Paul Molitor,MIN,19.0,0.0,5%,3.7,161.0,660.0,99.0,225.0,9.0,113.0,18.0,56.0,0.341,0.39,0.468,0.858,,,,,,,,,,,,
14,No,0,AL96,Pitcher,0,AL,1996,Andy Pettitte,NYY,11.0,0.0,3%,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,21.0,8.0,3.87,1.362,35.0,34.0,0.0,221.0,229.0,23.0,72.0,162.0
15,No,0,AL96,Batter,1,AL,1996,Jim Thome,CLE,9.0,0.0,2%,7.5,151.0,505.0,122.0,157.0,38.0,116.0,2.0,123.0,0.311,0.45,0.612,1.062,,,,,,,,,,,,
16,No,0,AL96,Batter,1,AL,1996,Chuck Knoblauch,MIN,8.0,0.0,2%,8.7,153.0,578.0,140.0,197.0,13.0,72.0,45.0,98.0,0.341,0.448,0.517,0.965,,,,,,,,,,,,
17,No,0,AL96,Batter,1,AL,1996,Jay Buhner,SEA,6.0,0.0,2%,3.5,150.0,564.0,107.0,153.0,44.0,138.0,0.0,84.0,0.271,0.369,0.557,0.926,,,,,,,,,,,,
18,No,0,AL96,Batter,1,AL,1996,Bernie Williams,NYY,6.0,0.0,2%,4.0,143.0,551.0,108.0,168.0,29.0,102.0,17.0,82.0,0.305,0.391,0.535,0.926,,,,,,,,,,,,
19,No,0,AL96,Pitcher,0,AL,1996,John Wetteland,NYY,4.0,0.0,1%,2.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,3.0,2.83,1.178,62.0,0.0,43.0,63.2,54.0,9.0,21.0,69.0
20,No,0,AL96,Batter,1,AL,1996,Roberto Alomar,BAL,3.0,0.0,1%,5.3,153.0,588.0,132.0,193.0,22.0,94.0,17.0,90.0,0.328,0.411,0.527,0.938,,,,,,,,,,,,
21,No,0,AL96,Batter,1,AL,1996,Terry Steinbach,OAK,1.0,0.0,0%,3.4,145.0,514.0,79.0,140.0,35.0,100.0,0.0,49.0,0.272,0.342,0.529,0.871,,,,,,,,,,,,
1,Yes,1,NL96,Batter,1,NL,1996,Ken Caminiti,SDP,392.0,28.0,100%,7.6,146.0,546.0,109.0,178.0,40.0,130.0,11.0,78.0,0.326,0.408,0.621,1.028,,,,,,,,,,,,
2,No,0,NL96,Batter,1,NL,1996,Mike Piazza,LAD,237.0,0.0,60%,5.4,148.0,547.0,87.0,184.0,36.0,105.0,0.0,81.0,0.336,0.422,0.563,0.985,,,,,,,,,,,,
3,No,0,NL96,Batter,1,NL,1996,Ellis Burks,COL,186.0,0.0,47%,7.9,156.0,613.0,142.0,211.0,40.0,128.0,32.0,61.0,0.344,0.408,0.639,1.047,,,,,,,,,,,,
4,No,0,NL96,Batter,1,NL,1996,Chipper Jones,ATL,158.0,0.0,40%,6.2,157.0,598.0,114.0,185.0,30.0,110.0,14.0,87.0,0.309,0.393,0.53,0.923,,,,,,,,,,,,
5,No,0,NL96,Batter,1,NL,1996,Barry Bonds,SFG,132.0,0.0,34%,9.7,158.0,517.0,122.0,159.0,42.0,129.0,40.0,151.0,0.308,0.461,0.615,1.076,,,,,,,,,,,,
6,No,0,NL96,Batter,1,NL,1996,Andrés Galarraga,COL,112.0,0.0,29%,4.2,159.0,626.0,119.0,190.0,47.0,150.0,18.0,40.0,0.304,0.357,0.601,0.958,,,,,,,,,,,,
