Rank,IsMvp,IsMvp_Int,LgYear,Pos,Pos_Int,Lg,Year,Name,Tm,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
1,Yes,1,AL84,Pitcher,0,AL,1984,Willie Hernández,DET,306.0,16.0,78%,4.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,9.0,3.0,1.92,0.941,80.0,0.0,32.0,140.1,96.0,6.0,36.0,112.0
2,No,0,AL84,Batter,1,AL,1984,Kent Hrbek,MIN,247.0,5.0,63%,5.6,149.0,559.0,80.0,174.0,27.0,107.0,1.0,65.0,0.311,0.383,0.522,0.906,,,,,,,,,,,,
3,No,0,AL84,Pitcher,0,AL,1984,Dan Quisenberry,KCR,235.0,5.0,60%,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.0,3.0,2.64,1.028,72.0,0.0,44.0,129.1,121.0,10.0,12.0,41.0
4,No,0,AL84,Batter,1,AL,1984,Eddie Murray,BAL,197.0,2.0,50%,7.1,162.0,588.0,97.0,180.0,29.0,110.0,10.0,107.0,0.306,0.41,0.509,0.918,,,,,,,,,,,,
5,No,0,AL84,Batter,1,AL,1984,Don Mattingly,NYY,113.0,0.0,29%,6.3,153.0,603.0,91.0,207.0,23.0,110.0,1.0,41.0,0.343,0.381,0.537,0.918,,,,,,,,,,,,
6,No,0,AL84,Batter,1,AL,1984,Kirk Gibson,DET,96.0,0.0,24%,5.1,149.0,531.0,92.0,150.0,27.0,91.0,29.0,63.0,0.282,0.363,0.516,0.879,,,,,,,,,,,,
7,No,0,AL84,Batter,1,AL,1984,Tony Armas,BOS,87.0,0.0,22%,2.6,157.0,639.0,107.0,171.0,43.0,123.0,1.0,32.0,0.268,0.3,0.531,0.831,,,,,,,,,,,,
8,No,0,AL84,Batter,1,AL,1984,Dave Winfield,NYY,83.0,0.0,21%,5.3,141.0,567.0,106.0,193.0,19.0,100.0,6.0,53.0,0.34,0.393,0.515,0.908,,,,,,,,,,,,
9,No,0,AL84,Batter,1,AL,1984,Alan Trammell,DET,76.0,0.0,19%,6.8,139.0,555.0,85.0,174.0,14.0,69.0,19.0,60.0,0.314,0.382,0.468,0.851,,,,,,,,,,,,
10,No,0,AL84,Batter,1,AL,1984,Willie Wilson,KCR,61.0,0.0,16%,4.3,128.0,541.0,81.0,163.0,2.0,44.0,47.0,39.0,0.301,0.35,0.39,0.74,,,,,,,,,,,,
11,No,0,AL84,Batter,1,AL,1984,Dwight Evans,BOS,39.0,0.0,10%,5.4,162.0,630.0,121.0,186.0,32.0,104.0,3.0,96.0,0.295,0.388,0.532,0.92,,,,,,,,,,,,
12,No,0,AL84,Batter,1,AL,1984,Alvin Davis,SEA,26.0,0.0,7%,5.9,152.0,567.0,80.0,161.0,27.0,116.0,5.0,97.0,0.284,0.391,0.497,0.888,,,,,,,,,,,,
13,No,0,AL84,Batter,1,AL,1984,Harold Baines,CHW,10.0,0.0,3%,4.3,147.0,569.0,72.0,173.0,29.0,94.0,1.0,54.0,0.304,0.361,0.541,0.903,,,,,,,,,,,,
